Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
0	&scorr;&sweep;&syn3;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	22.280	7.545(34%)	14.735(66%)	34	13118	85	13033	4511	1680	3082	  12678
1	&scorr;&sweep;&if -W 300 -x -K 6;&dc2;&b;&if -W 300 -K 6 -v;&mfs;	19.246	6.825(36%)	12.421(64%)	36	13507	85	13422	4511	1680	3085	  13122
2	&scorr;&sweep;&b;&if -W 300 -K 6 -v;&st;&if -W 300 -g -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	19.781	6.970(36%)	12.811(64%)	36	12915	85	12830	4511	1680	3084	  12507
3	&scorr;&sweep;&b -d;&if -W 300 -K 6 -v;&st;&if -W 300 -g -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;										1843	  17697
4	&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&st;&if -W 300 -g -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	19.100	6.846(36%)	12.254(64%)	36	12889	85	12804	4511	1680	3084	  12391
5	&scorr;&sweep;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&st;&if -W 300 -g -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	21.074	7.225(35%)	13.849(65%)	35	12828	85	12743	4511	1680	3082	  12303
6	&scorr;&sweep;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&st;&if -W 300 -g -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	21.375	7.215(34%)	14.160(66%)	34	12875	85	12790	4511	1680	3084	  12381
7	&scorr;&sweep;&synch2;&if -W 300 -K 6 -v;&st;&if -W 300 -g -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	21.115	7.225(35%)	13.890(65%)	35	12605	85	12520	4511	1680	3083	  12191
8	&scorr;&sweep;&dch;&if -W 300 -K 6 -v;&st;&if -W 300 -g -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	18.190	6.605(37%)	11.585(63%)	37	12732	85	12647	4511	1680	3084	  12164
9	&scorr;&sweep;&dch -f;&if -W 300 -K 6 -v;&st;&if -W 300 -g -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	18.105	6.598(37%)	11.507(63%)	37	12759	85	12674	4511	1680	3083	  12183
10	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -K 6 -v;&st;&if -W 300 -g -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	19.052	6.580(35%)	12.472(65%)	35	12925	85	12840	4511	1680	2883	  12301
11	&scorr;&sweep;&if -W 300 -K 6 -v;&st;&if -W 300 -K 6 -v;&st;&if -W 300 -g -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	18.962	6.722(36%)	12.240(64%)	36	12966	85	12881	4511	1680	3083	  12610
12	&scorr;&sweep;&if -W 300 -g -K 6;&dc2;&b;&if -W 300 -K 6 -v;&mfs;	19.409	7.049(37%)	12.360(63%)	37	13640	85	13555	4511	1680	3085	  13247
13	&scorr;&sweep;&dc2;&dc2;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	18.657	6.704(36%)	11.953(64%)	36	13094	85	13009	4511	1680	3084	  12539
14	&scorr;&sweep;&syn2;&dc2;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	22.087	7.466(34%)	14.621(66%)	34	12853	85	12768	4511	1680	3083	  12415
15	&scorr;&sweep;&syn3;&dc2;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	21.908	7.473(35%)	14.435(65%)	35	12751	85	12666	4511	1680	3083	  12320
16	&scorr;&sweep;&syn4;&dc2;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	22.340	7.473(34%)	14.867(66%)	34	13474	85	13389	4511	1680	3085	  12932
17	&scorr;&sweep;&b;&dc2;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	21.545	7.342(35%)	14.203(65%)	35	13183	85	13098	4511	1680	3084	  12729
18	&scorr;&sweep;&b -d;&dc2;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	18.157	6.587(37%)	11.570(63%)	37	13504	85	13419	4511	1680	3084	  13052
19	&scorr;&sweep;&if -W 300 -x -K 6;&dc2;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	18.986	6.704(36%)	12.282(64%)	36	13257	85	13172	4511	1680	3084	  12743
20	&scorr;&sweep;&if -W 300 -g -K 6;&dc2;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	18.811	6.711(36%)	12.100(64%)	36	13223	85	13138	4511	1680	3085	  12737
21	&scorr;&sweep;&if -W 300 -y -K 6;&dc2;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	19.185	6.846(36%)	12.339(64%)	36	13310	85	13225	4511	1680	3084	  12756
22	&scorr;&sweep;&synch2;&dc2;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	21.809	7.421(35%)	14.388(65%)	35	12953	85	12868	4511	1680	3084	  12526
23	&scorr;&sweep;&if -W 300 -y -K 6;&dc2;&b;&if -W 300 -K 6 -v;&mfs;	18.605	6.722(37%)	11.883(63%)	37	13546	85	13461	4511	1680	3084	  13022
24	&scorr;&sweep;&dch;&dc2;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	19.329	6.835(36%)	12.494(64%)	36	12983	85	12898	4511	1680	3084	  12431
25	&scorr;&sweep;&dch -f;&dc2;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	18.148	6.587(37%)	11.561(63%)	37	13060	85	12975	4511	1680	3084	  12505
26	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&dc2;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	18.044	7.435(42%)	10.609(58%)	42	13038	85	12953	4511	1680	2883	  12425
27	&scorr;&sweep;&if -W 300 -K 6 -v;&st;&dc2;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	19.724	6.970(36%)	12.754(64%)	36	12991	85	12906	4511	1680	3084	  12452
28	&scorr;&sweep;&dc2;&syn2;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	20.120	6.952(35%)	13.168(65%)	35	12932	85	12847	4511	1680	3083	  12394
29	&scorr;&sweep;&syn2;&syn2;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	21.581	7.342(35%)	14.239(65%)	35	12773	85	12688	4511	1680	3082	  12333
30	&scorr;&sweep;&syn3;&syn2;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	21.810	7.141(33%)	14.669(67%)	33	12710	85	12625	4511	1680	3082	  12280
31	&scorr;&sweep;&syn4;&syn2;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	21.275	7.349(35%)	13.926(65%)	35	12842	85	12757	4511	1680	3084	  12322
32	&scorr;&sweep;&b;&syn2;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	20.981	7.218(35%)	13.763(65%)	35	12788	85	12703	4511	1680	3082	  12394
33	&scorr;&sweep;&b -d;&syn2;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	20.804	7.091(35%)	13.713(65%)	35	12901	85	12816	4511	1680	3082	  12468
34	&scorr;&sweep;&synch2;&dc2;&b;&if -W 300 -K 6 -v;&mfs;	18.681	6.463(35%)	12.218(65%)	35	13179	85	13094	4511	1680	3386	  12793
35	&scorr;&sweep;&if -W 300 -x -K 6;&syn2;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	20.165	6.970(35%)	13.195(65%)	35	12987	85	12902	4511	1680	3083	  12507
