Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
0	&scorr;&sweep;&dc2;&if -W 300 -K 6 -v;&mfs;	22.488	4.843(22%)	17.645(78%)	22	7553	0	7553	2784	0	2877	   7466
1	&scorr;&sweep;&syn2;&if -W 300 -K 6 -v;&mfs;	21.282	4.719(23%)	16.563(77%)	23	7286	0	7286	2784	0	2414	   7234
2	&scorr;&sweep;&dch;&if -W 300 -K 6 -v;&mfs;	26.352	5.711(22%)	20.641(78%)	22	7335	0	7335	2784	0	2876	   7390
3	&scorr;&sweep;&syn3;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	21.454	4.719(22%)	16.735(78%)	22	7246	0	7246	2784	0	2414	   7205
4	&scorr;&sweep;&if -W 300 -x -K 6;&dc2;&b;&if -W 300 -K 6 -v;&mfs;	21.748	4.719(22%)	17.029(78%)	22	7534	0	7534	2784	0	2414	   7457
5	&scorr;&sweep;&if -W 300 -g -K 6;&dc2;&b;&if -W 300 -K 6 -v;&mfs;	25.503	5.463(22%)	20.040(78%)	22	7443	0	7443	2784	0	2414	   7369
6	&scorr;&sweep;&if -W 300 -y -K 6;&dc2;&b;&if -W 300 -K 6 -v;&mfs;	21.735	4.719(22%)	17.016(78%)	22	7422	0	7422	2784	0	2414	   7369
7	&scorr;&sweep;&synch2;&dc2;&b;&if -W 300 -K 6 -v;&mfs;	20.923	4.582(22%)	16.341(78%)	22	7449	0	7449	2784	0	2877	   7374
8	&scorr;&sweep;&dch;&dc2;&b;&if -W 300 -K 6 -v;&mfs;	23.435	5.091(22%)	18.344(78%)	22	7352	0	7352	2784	0	2881	   7279
9	&scorr;&sweep;&dch -f;&dc2;&b;&if -W 300 -K 6 -v;&mfs;	22.903	4.967(22%)	17.936(78%)	22	7407	0	7407	2784	0	2879	   7335
10	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&dc2;&b;&if -W 300 -K 6 -v;&mfs;	19.262	4.223(22%)	15.039(78%)	22	7334	0	7334	2784	0	2878	   7281
11	&scorr;&sweep;&if -W 300 -K 6 -v;&st;&dc2;&b;&if -W 300 -K 6 -v;&mfs;	20.258	4.699(24%)	15.559(76%)	24	7372	0	7372	2784	0	2876	   7306
12	&scorr;&sweep;&dc2;&syn2;&b;&if -W 300 -K 6 -v;&mfs;	21.020	4.595(22%)	16.425(78%)	22	7336	0	7336	2784	0	2414	   7296
13	&scorr;&sweep;&syn2;&syn2;&b;&if -W 300 -K 6 -v;&mfs;	20.617	4.471(22%)	16.146(78%)	22	7280	0	7280	2784	0	2414	   7231
14	&scorr;&sweep;&syn4;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	18.955	4.419(24%)	14.536(76%)	24	7776	0	7776	2784	0	2414	   7737
