Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_Delay_Percentage	Slice_LUTs	LUT_as_Logic	LUT_as_Memory	RegsFF	RegsLatch	ABC_Delay	ABC_Area
12463	"&scorr;&sweep;&syn4;&if -W 300 -g -K 6;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;
"	20.503	7.173	13.330	35	13202	13117	46200	4511	1680	3084.00	12680.0
12221	"&scorr;&sweep;&if -W 300 -K 6 -v;&st;&syn4;&b -d;&syn4;&if -W 300 -K 6 -v;&mfs;
"	21.445	7.297	14.148	35	13105	13020	46200	4511	1680	3387.00	12623.0
16785	"&scorr;&sweep;&if -W 300 -K 6 -v;&st;&if -W 300 -g -K 6;&dc2;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1790.00	16615.0
17954	"&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&if -W 300 -x -K 6;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	18111.0
13296	"&scorr;&sweep;&dch;&dch;&dch;&syn4;&if -W 300 -K 6 -v;&mfs;
"	24.094	8.001	16.093	34	13221	13136	46200	4511	1680	3629.00	12636.0
18599	"&scorr;&sweep;&if -W 300 -g -K 6;&dch -f;&synch2;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	17950.0
11835	"&scorr;&sweep;&b -d;&b;&syn4;&syn4;&if -W 300 -K 6 -v;&mfs;
"	22.240	7.349	14.891	34	13199	13114	46200	4511	1680	3629.00	12638.0
13619	"&scorr;&sweep;&dch -f;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&syn4;&if -W 300 -K 6 -v;&mfs;
"										1843.00	18011.0
12003	"&scorr;&sweep;&b -d;&syn3;&b;&syn4;&if -W 300 -K 6 -v;&mfs;
"	23.424	7.597	15.827	33	13129	13044	46200	4511	1680	3628.00	12633.0
18035	"&scorr;&sweep;&syn4;&if -W 300 -K 6 -v;&st;&if -W 300 -x -K 6;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1843.00	15430.0
1120	"&scorr;&sweep;&dc2;&synch2;&b;&if -W 300 -K 6 -v;&mfs;
"	18.055	6.790	11.265	38	13035	12950	46200	4511	1680	3387.00	12518.0
15290	"&scorr;&sweep;&syn3;&if -W 300 -K 6 -v;&st;&if -W 300 -x -K 6;&b;&if -W 300 -K 6 -v;&mfs;
"	20.240	6.828	13.412	34	12962	12877	46200	4511	1680	3083.00	12487.0
19577	"&scorr;&sweep;&b -d;&dch -f;&dc2;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;
"	17.128	6.535	10.593	39	13907	13822	46200	4511	1680	3086.00	13525.0
6885	"&scorr;&sweep;&dch -f;&dc2;&if -W 300 -x -K 6;&syn2;&if -W 300 -K 6 -v;&mfs;
"	19.024	6.835	12.189	36	13115	13030	46200	4511	1680	3084.00	12578.0
8946	"&scorr;&sweep;&dc2;&if -W 300 -y -K 6;&syn3;&syn3;&if -W 300 -K 6 -v;&mfs;
"	19.334	6.835	12.499	36	12900	12815	46200	4511	1680	3084.00	12345.0
3866	"&scorr;&sweep;&syn3;&synch2;&b;&dc2;&if -W 300 -K 6 -v;&mfs;
"	20.612	7.067	13.545	35	13022	12937	46200	4511	1680	3388.00	12597.0
17424	"&scorr;&sweep;&if -W 300 -y -K 6;&dch -f;&syn4;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1790.00	15952.0
5160	"&scorr;&sweep;&if -W 300 -y -K 6;&syn4;&dch -f;&dc2;&if -W 300 -K 6 -v;&mfs;
"	20.739	6.970	13.769	34	13631	13546	46200	4511	1680	3085.00	13052.0
19413	"&scorr;&sweep;&synch2;&if -W 300 -K 6 -v;&st;&if -W 300 -K 6 -v;&st;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	15666.0
8929	"&scorr;&sweep;&dch -f;&if -W 300 -x -K 6;&syn3;&syn3;&if -W 300 -K 6 -v;&mfs;
"	19.897	6.959	12.938	35	12763	12678	46200	4511	1680	3083.00	12174.0
933	"&scorr;&sweep;&synch2;&synch2;&syn4;&if -W 300 -K 6 -v;&mfs;
"	21.063	6.868	14.195	33	13416	13331	46200	4511	1680	3386.00	12921.0
7803	"&scorr;&sweep;&b -d;&dch;&dch;&syn2;&if -W 300 -K 6 -v;&mfs;
"	22.734	7.877	14.857	35	13418	13333	46200	4511	1680	3325.00	13023.0
19656	"&scorr;&sweep;&dc2;&syn4;&syn2;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;
"	20.646	7.279	13.367	36	12980	12895	46200	4511	1680	3084.00	12414.0
17469	"&scorr;&sweep;&dch -f;&dc2;&b;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1843.00	17176.0
19824	"&scorr;&sweep;&dc2;&syn2;&syn3;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;
"	19.654	6.848	12.806	35	12860	12775	46200	4511	1680	3083.00	12347.0
3984	"&scorr;&sweep;&if -W 300 -y -K 6;&syn4;&b -d;&dc2;&if -W 300 -K 6 -v;&mfs;
"	20.817	7.094	13.723	35	13835	13750	46200	4511	1680	3086.00	13288.0
20490	"&scorr;&sweep;&if -W 300 -y -K 6;&if -W 300 -x -K 6;&b -d;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;
"										1789.00	17850.0
18275	"&scorr;&sweep;&b -d;&syn3;&if -W 300 -y -K 6;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1790.00	16963.0
