Index	Sequence	PathDelay	LogicDelay	NetDelay	LUTsLogic	RegsFF	RegsLatch
0	&scorr;&sweep;;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.865	9.031(66%)	4.834(34%)	2002	605	9
1	&scorr;&sweep;;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.345	9.172(64%)	5.173(36%)	1999	605	9
2	&scorr;&sweep;;&syn4&b;&dch;&if -W 300 -K 6 -v;&mfs;						
3	&scorr;&sweep;;&syn2;&syn4&b;&dch;&if -W 300 -K 6 -v;&mfs;						
4	&scorr;&sweep;;&syn2;&syn4&b;&dch -f;&if -W 300 -K 6 -v;&mfs;						
5	&scorr;&sweep;;&syn3;&syn4&b;&synch2;&if -W 300 -K 6 -v;&mfs;						
6	&scorr;&sweep;;&syn3;&syn4&b;&dch;&if -W 300 -K 6 -v;&mfs;						
7	&scorr;&sweep;;&syn3;&syn4&b;&dch -f;&if -W 300 -K 6 -v;&mfs;						
8	&scorr;&sweep;;&syn4&b;&syn4&b;&synch2;&if -W 300 -K 6 -v;&mfs;						
9	&scorr;&sweep;;&syn4&b;&syn4&b;&dch;&if -W 300 -K 6 -v;&mfs;						
10	&scorr;&sweep;;&syn4&b;&syn4&b;&dch -f;&if -W 300 -K 6 -v;&mfs;						
11	&scorr;&sweep;;&b -d;&syn4&b;&synch2;&if -W 300 -K 6 -v;&mfs;						
12	&scorr;&sweep;;&b -d;&syn4&b;&dch;&if -W 300 -K 6 -v;&mfs;						
13	&scorr;&sweep;;&syn4&b;&dch -f;&if -W 300 -K 6 -v;&mfs;						
14	&scorr;&sweep;;&b -d;&syn4&b;&dch -f;&if -W 300 -K 6 -v;&mfs;						
15	&scorr;&sweep;;&if -W 300 -x -K 6;&syn4&b;&synch2;&if -W 300 -K 6 -v;&mfs;						
16	&scorr;&sweep;;&if -W 300 -x -K 6;&syn4&b;&dch;&if -W 300 -K 6 -v;&mfs;						
17	&scorr;&sweep;;&if -W 300 -x -K 6;&syn4&b;&dch -f;&if -W 300 -K 6 -v;&mfs;						
18	&scorr;&sweep;;&if -W 300 -g -K 6;&syn4&b;&synch2;&if -W 300 -K 6 -v;&mfs;						
19	&scorr;&sweep;;&if -W 300 -g -K 6;&syn4&b;&dch;&if -W 300 -K 6 -v;&mfs;						
20	&scorr;&sweep;;&if -W 300 -g -K 6;&syn4&b;&dch -f;&if -W 300 -K 6 -v;&mfs;						
21	&scorr;&sweep;;&if -W 300 -y -K 6;&syn4&b;&synch2;&if -W 300 -K 6 -v;&mfs;						
22	&scorr;&sweep;;&if -W 300 -y -K 6;&syn4&b;&dch;&if -W 300 -K 6 -v;&mfs;						
23	&scorr;&sweep;;&if -W 300 -y -K 6;&syn4&b;&dch -f;&if -W 300 -K 6 -v;&mfs;						
24	&scorr;&sweep;;&b -d;&synch2;&if -W 300 -K 6 -v;&mfs;	13.682	10.055(74%)	3.627(26%)	1976	605	9
25	&scorr;&sweep;;&dc2;&b -d;&synch2;&if -W 300 -K 6 -v;&mfs;	13.866	9.031(66%)	4.835(34%)	2005	605	9
26	&scorr;&sweep;;&dc2;&b -d;&dch;&if -W 300 -K 6 -v;&mfs;	14.353	9.172(64%)	5.181(36%)	2029	605	9
27	&scorr;&sweep;;&dc2;&b -d;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.801	9.172(62%)	5.629(38%)	2026	605	9
28	&scorr;&sweep;;&syn2;&b -d;&synch2;&if -W 300 -K 6 -v;&mfs;	13.829	9.031(66%)	4.798(34%)	1996	605	9
29	&scorr;&sweep;;&syn2;&b -d;&dch;&if -W 300 -K 6 -v;&mfs;	13.837	9.031(66%)	4.806(34%)	2026	605	9
