Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
0	&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&b;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	20.502	4.471(22%)	16.031(78%)	22	7296	0	7296	2784	0	2414	   7212
1	&scorr;&sweep;&syn3;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&b;&syn2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	19.919	4.400(23%)	15.519(77%)	23	7233	0	7233	2784	0	2414	   7139
2	&scorr;&sweep;&synch2;&dc2;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	21.180	4.823(23%)	16.357(77%)	23	7460	0	7460	2784	0	2414	   7366
3	&scorr;&sweep;&syn3;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;&st;&dch -f;&if -W 300 -x -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	21.465	4.489(21%)	16.976(79%)	21	7470	0	7470	2784	0	2414	   7525
4	&scorr;&sweep;&synch2;&syn4;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	20.689	4.158(21%)	16.531(79%)	21	7735	0	7735	2784	0	2414	   7658
5	&scorr;&sweep;&syn3;&dch;&synch2;&if -W 300 -K 6 -v;&mfs;	20.775	4.471(22%)	16.304(78%)	22	7365	0	7365	2784	0	2880	   7272
6	&scorr;&sweep;&dch -f;&if -W 300 -g -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	25.505	5.463(22%)	20.042(78%)	22	7499	0	7499	2784	0	2414	   7547
7	&scorr;&sweep;&dc2;&syn4;&dch -f;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&b -d;&dc2;&if -W 300 -K 6 -v;&mfs;	20.201	4.458(23%)	15.743(77%)	23	7516	0	7516	2784	0	2414	   7398
8	&scorr;&sweep;&synch2;&b -d;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&dc2;&b;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	20.995	4.823(23%)	16.172(77%)	23	7423	0	7423	2784	0	2414	   7289
9	&scorr;&sweep;&dch -f;&if -W 300 -g -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;	21.644	4.595(22%)	17.049(78%)	22	7468	0	7468	2784	0	2414	   7348
10	&scorr;&sweep;&syn4;&synch2;&synch2;&if -W 300 -K 6 -v;&mfs;	17.225	5.215(31%)	12.010(69%)	31	7561	0	7561	2784	0	2873	   7452
11	&scorr;&sweep;&syn3;&dch -f;&syn2;&if -W 300 -K 6 -v;&mfs;	20.520	4.699(23%)	15.821(77%)	23	7348	0	7348	2784	0	2414	   7307
12	&scorr;&sweep;&b;&syn4;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	18.542	4.392(24%)	14.150(76%)	24	7727	0	7727	2784	0	2414	   7687
13	&scorr;&sweep;&if -W 300 -g -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	21.026	4.595(22%)	16.431(78%)	22	7373	0	7373	2784	0	2414	   7248
14	&scorr;&sweep;&if -W 300 -x -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	21.289	4.843(23%)	16.446(77%)	23	7350	0	7350	2784	0	2414	   7318
15	&scorr;&sweep;&syn4;&b -d;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&dch;&syn4;&dch -f;&if -W 300 -K 6 -v;&mfs;										1533	   8340
16	&scorr;&sweep;&if -W 300 -g -K 6;&dch;&synch2;&if -W 300 -K 6 -v;&mfs;	21.727	4.595(22%)	17.132(78%)	22	7314	0	7314	2784	0	2414	   7209
17	&scorr;&sweep;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	24.773	5.339(22%)	19.434(78%)	22	7613	0	7613	2784	0	2879	   7652
18	&scorr;&sweep;&syn4;&synch2;&syn2;&if -W 300 -K 6 -v;&mfs;	20.167	4.582(23%)	15.585(77%)	23	7502	0	7502	2784	0	2414	   7428
19	&scorr;&sweep;&b;&syn4;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -y -K 6;&syn2;&b -d;&if -W 300 -K 6 -v;&mfs;										1533	   8250
20	&scorr;&sweep;&dch -f;&synch2;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	20.273	4.471(23%)	15.802(77%)	23	7317	0	7317	2784	0	2414	   7222
