Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
0	&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&b;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	17.441	6.339(37%)	11.102(63%)	37	13071	85	12986	4511	1680	2883	  12472
1	&scorr;&sweep;&syn3;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&b;&syn2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	20.651	7.225(35%)	13.426(65%)	35	12527	85	12442	4511	1680	2883	  11858
2	&scorr;&sweep;&synch2;&dc2;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	17.983	6.553(37%)	11.430(63%)	37	13223	85	13138	4511	1680	3084	  12812
3	&scorr;&sweep;&syn3;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;&st;&dch -f;&if -W 300 -x -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	19.369	6.835(36%)	12.534(64%)	36	12435	85	12350	4511	1680	2883	  11779
4	&scorr;&sweep;&synch2;&syn4;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	20.131	6.697(34%)	13.434(66%)	34	13068	85	12983	4511	1680	3083	  12659
5	&scorr;&sweep;&syn3;&dch;&synch2;&if -W 300 -K 6 -v;&mfs;	20.902	7.286(35%)	13.616(65%)	35	12677	85	12592	4511	1680	3388	  12158
6	&scorr;&sweep;&dch -f;&if -W 300 -g -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	18.572	6.503(36%)	12.069(64%)	36	13421	85	13336	4511	1680	3086	  12846
7	&scorr;&sweep;&dc2;&syn4;&dch -f;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&b -d;&dc2;&if -W 300 -K 6 -v;&mfs;	18.496	6.605(36%)	11.891(64%)	36	12734	85	12649	4511	1680	2883	  12101
8	&scorr;&sweep;&synch2;&b -d;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&dc2;&b;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	20.150	7.013(35%)	13.137(65%)	35	12659	85	12574	4511	1680	2862	  12003
9	&scorr;&sweep;&dch -f;&if -W 300 -g -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;	18.158	6.587(37%)	11.571(63%)	37	13355	85	13270	4511	1680	3084	  12798
10	&scorr;&sweep;&syn4;&synch2;&synch2;&if -W 300 -K 6 -v;&mfs;	20.508	6.907(34%)	13.601(66%)	34	12581	85	12496	4511	1680	3388	  11988
11	&scorr;&sweep;&syn3;&dch -f;&syn2;&if -W 300 -K 6 -v;&mfs;	25.268	8.355(34%)	16.913(66%)	34	12706	85	12621	4511	1680	3325	  12162
12	&scorr;&sweep;&b;&syn4;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	21.518	7.175(34%)	14.343(66%)	34	13047	85	12962	4511	1680	3326	  12536
13	&scorr;&sweep;&if -W 300 -g -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	17.174	6.190(37%)	10.984(63%)	37	14057	85	13972	4511	1680	3083	  13659
14	&scorr;&sweep;&if -W 300 -x -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	18.502	6.474(35%)	12.028(65%)	35	12631	85	12546	4511	1680	2884	  11969
15	&scorr;&sweep;&syn4;&b -d;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&dch;&syn4;&dch -f;&if -W 300 -K 6 -v;&mfs;										1843	  15821
16	&scorr;&sweep;&if -W 300 -g -K 6;&dch;&synch2;&if -W 300 -K 6 -v;&mfs;	19.439	7.038(37%)	12.401(63%)	37	12601	85	12516	4511	1680	3084	  12074
17	&scorr;&sweep;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	23.087	7.676(34%)	15.411(66%)	34	13295	85	13210	4511	1680	3629	  12751
18	&scorr;&sweep;&syn4;&synch2;&syn2;&if -W 300 -K 6 -v;&mfs;	21.881	7.473(35%)	14.408(65%)	35	12677	85	12592	4511	1680	3085	  12088
19	&scorr;&sweep;&b;&syn4;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -y -K 6;&syn2;&b -d;&if -W 300 -K 6 -v;&mfs;										1771	  16670
20	&scorr;&sweep;&dch -f;&synch2;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	18.753	6.790(37%)	11.963(63%)	37	13019	85	12934	4511	1680	3083	  12543
21	&scorr;&sweep;&syn4;&syn3;&syn3;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&syn3;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	21.714	7.349(34%)	14.365(66%)	34	12431	85	12346	4511	1680	2884	  11777
22	&scorr;&sweep;&dch -f;&dch;&syn3;&if -W 300 -K 6 -v;&mfs;	23.070	7.676(34%)	15.394(66%)	34	12935	85	12850	4511	1680	3629	  12387
23	&scorr;&sweep;&b;&syn3;&dch -f;&if -W 300 -K 6 -v;&mfs;	25.027	8.504(34%)	16.523(66%)	34	12604	85	12519	4511	1680	3628	  12031
24	&scorr;&sweep;&if -W 300 -g -K 6;&b;&dch;&if -W 300 -K 6 -v;&mfs;	19.362	6.932(36%)	12.430(64%)	36	12792	85	12707	4511	1680	3085	  12277
25	&scorr;&sweep;&if -W 300 -y -K 6;&syn4;&syn4;&if -W 300 -K 6 -v;&mfs;	21.821	7.421(35%)	14.400(65%)	35	13037	85	12952	4511	1680	3083	  12498
26	&scorr;&sweep;&syn2;&syn4;&synch2;&if -W 300 -K 6 -v;&mfs;	19.960	6.704(34%)	13.256(66%)	34	12718	85	12633	4511	1680	3083	  12218
27	&scorr;&sweep;&if -W 300 -y -K 6;&syn4;&synch2;&if -W 300 -K 6 -v;&mfs;	18.137	6.808(38%)	11.329(62%)	38	12641	85	12556	4511	1680	3083	  12094
28	&scorr;&sweep;&dc2;&b;&syn2;&if -W 300 -K 6 -v;&mfs;	23.575	7.800(34%)	15.775(66%)	34	13030	85	12945	4511	1680	3325	  12505
29	&scorr;&sweep;&b;&if -W 300 -y -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;&st;&dc2;&if -W 300 -x -K 6;&b;&if -W 300 -K 6 -v;&mfs;	20.585	7.155(35%)	13.430(65%)	35	12887	85	12802	4511	1680	2923	  12238
30	&scorr;&sweep;&syn4;&syn4;&if -W 300 -K 6 -v;&mfs;	23.181	7.590(33%)	15.591(67%)	33	13023	85	12938	4511	1680	3629	  12489
31	&scorr;&sweep;&synch2;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	18.198	6.808(38%)	11.390(62%)	38	12782	85	12697	4511	1680	3386	  12383
32	&scorr;&sweep;&dc2;&synch2;&synch2;&if -W 300 -K 6 -v;&mfs;	19.236	6.704(35%)	12.532(65%)	35	12752	85	12667	4511	1680	3386	  12236
33	&scorr;&sweep;&syn4;&if -W 300 -x -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	19.237	6.846(36%)	12.391(64%)	36	13259	85	13174	4511	1680	3084	  12741
34	&scorr;&sweep;&synch2;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	20.266	6.952(35%)	13.314(65%)	35	13030	85	12945	4511	1680	3083	  12561
35	&scorr;&sweep;&b;&b;&dch;&if -W 300 -K 6 -v;&mfs;	23.577	8.125(35%)	15.452(65%)	35	12568	85	12483	4511	1680	3628	  12045
36	&scorr;&sweep;&if -W 300 -y -K 6;&if -W 300 -x -K 6;&b;&if -W 300 -K 6 -v;&mfs;	17.285	6.481(38%)	10.804(62%)	38	13756	85	13671	4511	1680	3084	  13329
37	&scorr;&sweep;&b -d;&b -d;&if -W 300 -K 6 -v;&mfs;										1843	  17493
38	&scorr;&sweep;&if -W 300 -x -K 6;&syn3;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&dc2;&b;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;&st;&syn4;&if -W 300 -g -K 6;&b;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;	18.877	6.801(37%)	12.076(63%)	37	12354	85	12269	4511	1680	2861	  11685
39	&scorr;&sweep;&if -W 300 -g -K 6;&b -d;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;										1789	  17323
