Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
0	&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&b;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	2.821	0.875(32%)	1.946(68%)	32	658	0	658	703	703	1205	    633
1	&scorr;&sweep;&syn3;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&b;&syn2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	2.833	0.875(31%)	1.958(69%)	31	658	0	658	703	703	1205	    630
2	&scorr;&sweep;&synch2;&dc2;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	2.820	0.875(32%)	1.945(68%)	32	671	0	671	703	703	1205	    642
3	&scorr;&sweep;&syn3;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;&st;&dch -f;&if -W 300 -x -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	2.823	0.875(31%)	1.948(69%)	31	668	0	668	703	703	1205	    641
4	&scorr;&sweep;&synch2;&syn4;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	2.826	0.875(31%)	1.951(69%)	31	672	0	672	703	703	1205	    646
5	&scorr;&sweep;&syn3;&dch;&synch2;&if -W 300 -K 6 -v;&mfs;	2.364	0.875(38%)	1.489(62%)	38	664	0	664	703	703	1508	    637
6	&scorr;&sweep;&dch -f;&if -W 300 -g -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	2.946	0.999(34%)	1.947(66%)	34	671	0	671	703	703	1205	    642
7	&scorr;&sweep;&dc2;&syn4;&dch -f;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&b -d;&dc2;&if -W 300 -K 6 -v;&mfs;	2.831	0.875(31%)	1.956(69%)	31	674	0	674	703	703	1205	    645
8	&scorr;&sweep;&synch2;&b -d;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&dc2;&b;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	2.830	0.875(31%)	1.955(69%)	31	665	0	665	703	703	1205	    639
9	&scorr;&sweep;&dch -f;&if -W 300 -g -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;	2.945	0.999(34%)	1.946(66%)	34	673	0	673	703	703	1205	    645
10	&scorr;&sweep;&syn4;&synch2;&synch2;&if -W 300 -K 6 -v;&mfs;	2.782	0.999(36%)	1.783(64%)	36	664	0	664	703	703	1508	    635
