Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
0	&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&b;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	5.906	2.383(41%)	3.523(59%)	41	4040	1260	2780	6744	0	1350	   2773
1	&scorr;&sweep;&syn3;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&b;&syn2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	5.906	2.383(41%)	3.523(59%)	41	4039	1260	2779	6744	0	1350	   2771
2	&scorr;&sweep;&synch2;&dc2;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	5.906	2.383(41%)	3.523(59%)	41	4056	1260	2796	6744	0	1351	   2799
3	&scorr;&sweep;&syn3;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;&st;&dch -f;&if -W 300 -x -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	5.906	2.383(41%)	3.523(59%)	41	4039	1260	2779	6744	0	1350	   2772
4	&scorr;&sweep;&synch2;&syn4;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	6.700	3.179(48%)	3.521(52%)	48	4076	1260	2816	6744	0	1351	   2811
5	&scorr;&sweep;&syn3;&dch;&synch2;&if -W 300 -K 6 -v;&mfs;	5.906	2.383(41%)	3.523(59%)	41	4045	1260	2785	6744	0	1654	   2778
6	&scorr;&sweep;&dch -f;&if -W 300 -g -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	5.906	2.383(41%)	3.523(59%)	41	4048	1260	2788	6744	0	1351	   2778
7	&scorr;&sweep;&dc2;&syn4;&dch -f;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&b -d;&dc2;&if -W 300 -K 6 -v;&mfs;	5.906	2.383(41%)	3.523(59%)	41	4047	1260	2787	6744	0	1350	   2779
8	&scorr;&sweep;&synch2;&b -d;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&dc2;&b;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	6.592	3.055(47%)	3.537(53%)	47	4065	1260	2805	6744	0	1350	   2797
9	&scorr;&sweep;&dch -f;&if -W 300 -g -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;	5.906	2.383(41%)	3.523(59%)	41	4048	1260	2788	6744	0	1351	   2785
10	&scorr;&sweep;&syn4;&synch2;&synch2;&if -W 300 -K 6 -v;&mfs;	5.906	2.383(41%)	3.523(59%)	41	4039	1260	2779	6744	0	1654	   2775
11	&scorr;&sweep;&syn3;&dch -f;&syn2;&if -W 300 -K 6 -v;&mfs;	5.906	2.383(41%)	3.523(59%)	41	4040	1260	2780	6744	0	1351	   2775
12	&scorr;&sweep;&b;&syn4;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	7.308	3.303(46%)	4.005(54%)	46	4108	1260	2848	6744	0	1351	   2844
