Sequence	PathDelay
strash;rewrite;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8125
strash;rewrite -z;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8358
strash;resub -K 8;rewrite -z;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8165
strash;resub -K 8;resub -K 8;refactor;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8340
strash;resub -K 8;resub -K 8;refactor -z;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	7796
strash;dc2;resub -K 8;refactor -z;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8284
strash;rewrite;dc2;refactor -z;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8164
strash;rewrite -z;dc2;refactor -z;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8353
strash;refactor;dc2;refactor -z;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8388
strash;refactor -z;dc2;refactor -z;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8368
strash;resub -K 8;dc2;refactor -z;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	7800
strash;dc2;dc2;refactor -z;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8407
strash;rewrite;rewrite;resub -K 8;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8099
strash;rewrite -z;rewrite;resub -K 8;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	7800
strash;dc2;resub -K 8;refactor;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8265
strash;refactor;rewrite;resub -K 8;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8183
strash;refactor -z;rewrite;resub -K 8;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8183
strash;resub -K 8;rewrite;resub -K 8;resub -K 8;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8196
