Sequence	PathDelay	LogicDelay	NetDelay	LUTsLogic	RegsFF	RegsLatch
&scorr;&sweep;&dc2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	14.354	9.172(64%)	5.182(36%)	2158	605	9
&scorr;&sweep;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	14.315	9.172(65%)	5.143(35%)	2100	605	9
&scorr;&sweep;&synch2;&synch2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2085	605	9
&scorr;&sweep;&dc2;&syn2;&synch2;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2115	605	9
&scorr;&sweep;&dc2;&synch2;&synch2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.681	10.055(74%)	3.626(26%)	2106	605	9
&scorr;&sweep;&syn2;&synch2;&synch2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2029	605	9
&scorr;&sweep;&synch2;&synch2;&synch2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2038	605	9
&scorr;&sweep;&retime;&synch2;&synch2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2085	605	9
&scorr;&sweep;&dc2;&retime;&synch2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2077	605	9
&scorr;&sweep;&syn2;&retime;&synch2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2060	605	9
&scorr;&sweep;&synch2;&retime;&synch2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2085	605	9
&scorr;&sweep;&retime;&retime;&synch2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.469	3.107(24%)	10.362(76%)	2065	605	9
&scorr;&sweep;&dc2;&dc2;&retime;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	14.345	9.172(64%)	5.173(36%)	2166	605	9
&scorr;&sweep;&syn2;&dc2;&retime;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	14.329	9.172(65%)	5.157(35%)	2153	605	9
&scorr;&sweep;&syn2;&syn2;&synch2;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.674	10.055(74%)	3.619(26%)	2094	605	9
