Index	Sequence	PathDelay	LogicDelay	NetDelay	LUTsLogic	RegsFF	RegsLatch
0	&scorr;&sweep;;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.865	9.031(66%)	4.834(34%)	2002	605	9
1	&scorr;&sweep;;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.345	9.172(64%)	5.173(36%)	1999	605	9
2	&scorr;&sweep;;&b -d;&dch;&if -W 300 -K 6 -v;&mfs;	13.683	10.055(74%)	3.628(26%)	1975	605	9
3	&scorr;&sweep;;&b -d;&if -W 300 -x;&dch;&if -W 300 -K 6 -v;&mfs;	14.295	9.172(65%)	5.123(35%)	1992	605	9
4	&scorr;&sweep;;&b -d;&if -W 300 -x;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.319	9.172(65%)	5.147(35%)	1990	605	9
5	&scorr;&sweep;;&if -W 300 -x;&if -W 300 -x;&synch2;&if -W 300 -K 6 -v;&mfs;	13.921	8.805(64%)	5.116(36%)	2011	605	9
6	&scorr;&sweep;;&if -W 300 -x;&if -W 300 -x;&dch;&if -W 300 -K 6 -v;&mfs;	14.296	9.172(65%)	5.124(35%)	2031	605	9
7	&scorr;&sweep;;&if -W 300 -x;&if -W 300 -x;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.863	9.031(66%)	4.832(34%)	2022	605	9
8	&scorr;&sweep;;&if -W 300 -g;&if -W 300 -x;&synch2;&if -W 300 -K 6 -v;&mfs;	13.673	10.055(74%)	3.618(26%)	1978	605	9
9	&scorr;&sweep;;&if -W 300 -g;&if -W 300 -x;&dch;&if -W 300 -K 6 -v;&mfs;	14.295	9.172(65%)	5.123(35%)	1967	605	9
10	&scorr;&sweep;;&if -W 300 -g;&if -W 300 -x;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.289	9.172(65%)	5.117(35%)	1982	605	9
11	&scorr;&sweep;;&dc2;&if -W 300 -g;&synch2;&if -W 300 -K 6 -v;&mfs;	13.866	9.031(66%)	4.835(34%)	1994	605	9
12	&scorr;&sweep;;&dc2;&if -W 300 -g;&dch;&if -W 300 -K 6 -v;&mfs;	13.793	9.031(66%)	4.762(34%)	1998	605	9
13	&scorr;&sweep;;&b -d;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.686	10.055(74%)	3.631(26%)	1989	605	9
14	&scorr;&sweep;;&dc2;&if -W 300 -g;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.814	9.031(66%)	4.783(34%)	2032	605	9
15	&scorr;&sweep;;&syn2;&if -W 300 -g;&synch2;&if -W 300 -K 6 -v;&mfs;	13.672	10.037(74%)	3.635(26%)	1987	605	9
16	&scorr;&sweep;;&syn2;&if -W 300 -g;&dch;&if -W 300 -K 6 -v;&mfs;	14.046	8.907(64%)	5.139(36%)	2021	605	9
17	&scorr;&sweep;;&syn2;&if -W 300 -g;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.866	9.031(66%)	4.835(34%)	2026	605	9
18	&scorr;&sweep;;&b;&if -W 300 -g;&synch2;&if -W 300 -K 6 -v;&mfs;	13.813	9.031(66%)	4.782(34%)	1978	605	9
19	&scorr;&sweep;;&b;&if -W 300 -g;&dch;&if -W 300 -K 6 -v;&mfs;	14.039	8.907(64%)	5.132(36%)	1983	605	9
20	&scorr;&sweep;;&b;&if -W 300 -g;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.856	9.031(66%)	4.825(34%)	2009	605	9
21	&scorr;&sweep;;&b -d;&if -W 300 -g;&synch2;&if -W 300 -K 6 -v;&mfs;	13.672	10.037(74%)	3.635(26%)	1973	605	9
